CandidateID,Gender,Ethnicity,DisabilityStatus,RoleType,StageReached
1,Female,Other,None,Mid-Level,Screened
2,Prefer Not to Say,Mixed,Sensory,Mid-Level,Applied
3,Non-Binary,Hispanic/Latinx,None,Senior,Screened
4,Male,Other,Mental Health,Senior,Applied
5,Male,Hispanic/Latinx,Mental Health,Mid-Level,Hired
6,Non-Binary,Black,None,Mid-Level,Applied
7,Non-Binary,Other,None,Senior,Applied
8,Non-Binary,Black,Sensory,Senior,Applied
9,Prefer Not to Say,Other,Mental Health,Senior,Applied
10,Male,White,None,Mid-Level,Screened
11,Non-Binary,Asian,None,Junior,Applied
12,Prefer Not to Say,Black,None,Junior,Applied
13,Non-Binary,Other,None,Junior,Interviewed
14,Female,Asian,None,Junior,Screened
15,Female,Black,None,Mid-Level,Applied
16,Male,Mixed,None,Junior,Applied
17,Prefer Not to Say,Other,None,Senior,Applied
18,Female,Mixed,None,Senior,Applied
19,Female,White,None,Junior,Applied
20,Prefer Not to Say,Other,None,Senior,Screened
21,Non-Binary,White,None,Mid-Level,Shortlisted
22,Prefer Not to Say,Asian,None,Junior,Applied
23,Non-Binary,Black,None,Junior,Applied
24,Female,Hispanic/Latinx,None,Mid-Level,Applied
25,Female,White,Mental Health,Senior,Applied
26,Female,Hispanic/Latinx,None,Mid-Level,Applied
27,Male,Hispanic/Latinx,None,Mid-Level,Shortlisted
28,Male,Black,None,Senior,Screened
29,Male,Asian,Mental Health,Mid-Level,Hired
30,Prefer Not to Say,Black,None,Senior,Interviewed
31,Female,Other,None,Senior,Screened
32,Female,White,None,Mid-Level,Screened
33,Prefer Not to Say,Hispanic/Latinx,None,Senior,Applied
34,Male,Black,None,Mid-Level,Screened
35,Prefer Not to Say,Black,None,Senior,Shortlisted
36,Male,Black,None,Junior,Applied
37,Female,White,None,Senior,Shortlisted
38,Non-Binary,Asian,None,Senior,Applied
39,Male,Black,None,Mid-Level,Interviewed
40,Female,White,Physical,Senior,Shortlisted
41,Female,Hispanic/Latinx,None,Junior,Screened
42,Non-Binary,Other,Physical,Junior,Screened
43,Female,Mixed,None,Senior,Screened
44,Female,White,None,Senior,Interviewed
45,Male,Mixed,None,Junior,Hired
46,Male,Black,Mental Health,Mid-Level,Screened
47,Non-Binary,Black,None,Junior,Screened
48,Non-Binary,White,None,Junior,Screened
49,Female,Mixed,None,Senior,Interviewed
50,Male,Black,None,Senior,Screened
51,Non-Binary,Hispanic/Latinx,None,Junior,Interviewed
52,Non-Binary,Asian,None,Mid-Level,Screened
53,Prefer Not to Say,Asian,None,Junior,Applied
54,Non-Binary,Black,None,Junior,Applied
55,Female,Mixed,None,Mid-Level,Screened
56,Male,Other,None,Junior,Applied
57,Non-Binary,Black,None,Junior,Applied
58,Prefer Not to Say,Other,None,Senior,Screened
59,Male,Other,None,Mid-Level,Applied
60,Non-Binary,Mixed,None,Senior,Applied
61,Prefer Not to Say,Other,Mental Health,Senior,Screened
62,Non-Binary,Hispanic/Latinx,Mental Health,Mid-Level,Shortlisted
63,Male,Mixed,Physical,Mid-Level,Screened
64,Male,Black,None,Junior,Hired
65,Male,Hispanic/Latinx,None,Senior,Screened
